Entry	Entry name	Gene names  (ordered locus )	Gene names	Length	Absorption	Active site	Activity regulation	Binding site	Calcium binding	Catalytic activity	Cofactor	DNA binding	Metal binding	Nucleotide binding	Site	Motif
P36035	JEN1_YEAST	YKL217W	JEN1 YKL217W	616												
P40513	MAM33_YEAST	YIL070C	MAM33 YIL070C	266												
P30606	ITR2_YEAST	YOL103W	ITR2 YOL103W HRB612	609						CATALYTIC ACTIVITY: Reaction=H(+)(out) + myo-inositol(out) = H(+)(in) + myo-inositol(in); Xref=Rhea:RHEA:60364, ChEBI:CHEBI:15378, ChEBI:CHEBI:17268; Evidence={ECO:0000305|PubMed:2040626};						
P21190	IME1_YEAST	YJR094C	IME1 YJR094C J1916	360												
P47047	MTR4_YEAST	YJL050W	MTR4 DOB1 YJL050W J1158	1073						CATALYTIC ACTIVITY: Reaction=ATP + H2O = ADP + H(+) + phosphate; Xref=Rhea:RHEA:13065, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=3.6.4.13;				NP_BIND 171 178 ATP. {ECO:0000255|PROSITE-ProRule:PRU00541}.		MOTIF 262 265 DEVH box.
P05030	PMA1_YEAST	YGL008C	PMA1 YGL008C	918		ACT_SITE 378 378 4-aspartylphosphate intermediate. {ECO:0000250}.				CATALYTIC ACTIVITY: Reaction=ATP + H(+)(in) + H2O = ADP + 2 H(+)(out) + phosphate; Xref=Rhea:RHEA:20852, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:456216; EC=7.1.2.1;			METAL 634 634 Magnesium. {ECO:0000250}.; METAL 638 638 Magnesium. {ECO:0000250}.			
P22434	PDE1_YEAST	YGL248W	PDE1 YGL248W NRB369	369						CATALYTIC ACTIVITY: Reaction=a nucleoside 3',5'-cyclic phosphate + H2O = a nucleoside 5'-phosphate + H(+); Xref=Rhea:RHEA:14653, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:57867, ChEBI:CHEBI:58464; EC=3.1.4.17;						
P20053	PRP4_YEAST	YPR178W	PRP4 RNA4 YPR178W P9705.6	465												
Q00723	PRP38_YEAST	YGR075C	PRP38 YGR075C	242												
Q03920	MTQ2_YEAST	YDR140W	MTQ2 MTC6 YDR140W	221				BINDING 77 77 S-adenosyl-L-methionine. {ECO:0000250}.; BINDING 122 122 S-adenosyl-L-methionine. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=L-glutaminyl-[peptide chain release factor] + S-adenosyl-L-methionine = H(+) + N(5)-methyl-L-glutaminyl-[peptide chain release factor] + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:42896, Rhea:RHEA-COMP:10271, Rhea:RHEA-COMP:10272, ChEBI:CHEBI:15378, ChEBI:CHEBI:30011, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:61891; EC=2.1.1.297; Evidence={ECO:0000269|PubMed:15509572};						
P53549	PRS10_YEAST	YOR259C	RPT4 CRL13 PCS1 SUG2 YOR259C	437										NP_BIND 222 229 ATP. {ECO:0000255}.		
P36059	NNRD_YEAST	YKL151C	YKL151C YKL606	337				BINDING 121 121 NAD(P)HX; via amide nitrogen. {ECO:0000255|HAMAP-Rule:MF_03157}.; BINDING 250 250 NAD(P)HX. {ECO:0000255|HAMAP-Rule:MF_03157}.		CATALYTIC ACTIVITY: Reaction=(6S)-NADHX + ATP = ADP + H(+) + NADH + phosphate; Xref=Rhea:RHEA:19017, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57945, ChEBI:CHEBI:64074, ChEBI:CHEBI:456216; EC=4.2.1.93; Evidence={ECO:0000255|HAMAP-Rule:MF_03157}; CATALYTIC ACTIVITY: Reaction=(6S)-NADPHX + ATP = ADP + H(+) + NADPH + phosphate; Xref=Rhea:RHEA:32231, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57783, ChEBI:CHEBI:64076, ChEBI:CHEBI:456216; EC=4.2.1.93;	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000255|HAMAP-Rule:MF_03157, ECO:0000269|PubMed:13331940}; 			NP_BIND 218 222 ATP. {ECO:0000255|HAMAP-Rule:MF_03157}.; NP_BIND 240 249 ATP. {ECO:0000255|HAMAP-Rule:MF_03157}.		
P53112	PEX14_YEAST	YGL153W	PEX14 YGL153W G1870	341												MOTIF 86 94 SH3-binding.
Q03178	PIR1_YEAST	YKL164C	PIR1 CCW6 YKL164C YKL618	341											SITE 63 64 Cleavage; by KEX2.; SITE 74 74 Covalent attachment to cell wall glycan. {ECO:0000250}.; SITE 93 93 Covalent attachment to cell wall glycan. {ECO:0000250}.; SITE 112 112 Covalent attachment to cell wall glycan. {ECO:0000250}.; SITE 136 136 Covalent attachment to cell wall glycan. {ECO:0000250}.; SITE 155 155 Covalent attachment to cell wall glycan. {ECO:0000250}.; SITE 174 174 Covalent attachment to cell wall glycan. {ECO:0000250}.; SITE 193 193 Covalent attachment to cell wall glycan. {ECO:0000250}.; SITE 212 212 Covalent attachment to cell wall glycan. {ECO:0000250}.	
P53204	NMA2_YEAST	YGR010W	NMA2 YGR010W	395				BINDING 175 175 ATP. {ECO:0000250|UniProtKB:Q96T66}.		CATALYTIC ACTIVITY: Reaction=ATP + beta-nicotinamide D-ribonucleotide + H(+) = diphosphate + NAD(+); Xref=Rhea:RHEA:21360, ChEBI:CHEBI:14649, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57540; EC=2.7.7.1; Evidence={ECO:0000250|UniProtKB:Q06178, ECO:0000269|PubMed:12597897}; CATALYTIC ACTIVITY: Reaction=ATP + H(+) + nicotinate beta-D-ribonucleotide = deamido-NAD(+) + diphosphate; Xref=Rhea:RHEA:22860, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57502, ChEBI:CHEBI:58437; EC=2.7.7.18; Evidence={ECO:0000305|PubMed:11884393};	COFACTOR: Name=Co(2+); Xref=ChEBI:CHEBI:48828; Evidence={ECO:0000269|PubMed:12597897};  Note=Divalent metal cation. {ECO:0000269|PubMed:12597897};			NP_BIND 166 168 ATP. {ECO:0000250|UniProtKB:Q96T66, ECO:0000250|UniProtKB:Q9HAN9}.; NP_BIND 282 284 ATP. {ECO:0000250|UniProtKB:Q96T66}.; NP_BIND 350 353 ATP. {ECO:0000250|UniProtKB:Q96T66}.		
P40975	PMP2_YEAST	YEL017C-A	PMP2 YEL017C-A YEL017BC	43												
P25651	CSM1_YEAST	YCR086W	CSM1 SPO86 YCR086W YCR86W	190												
P32074	COPG_YEAST	YNL287W	SEC21 YNL287W N0543	935												
P36038	CBT1_YEAST	YKL208W	CBT1 SOC1 YKL208W	271												
P52924	COS10_YEAST	YNR075W	COS10 YNR075W N3820	374												
P36122	BCH2_YEAST	YKR027W	BCH2 FMP50 YKR027W	765												
P14020	DPM1_YEAST	YPR183W	DPM1 SED3 YPR183W P9705.3	267						CATALYTIC ACTIVITY: Reaction=dolichyl phosphate + GDP-alpha-D-mannose = dolichyl beta-D-mannosyl phosphate + GDP; Xref=Rhea:RHEA:21184, Rhea:RHEA-COMP:9517, Rhea:RHEA-COMP:9527, ChEBI:CHEBI:57527, ChEBI:CHEBI:57683, ChEBI:CHEBI:58189, ChEBI:CHEBI:58211; EC=2.4.1.83;						
P37298	DHSD_YEAST	YDR178W	SDH4 ACN18 YDR178W YD9395.11	181				BINDING 120 120 Ubiquinone; shared with IP/SDHB. {ECO:0000250}.					METAL 109 109 Iron (heme axial ligand). {ECO:0000305}.			
P53551	H1_YEAST	YPL127C	HHO1 YPL127C LPI17C	258												
Q12265	KPR5_YEAST	YOL061W	PRS5 PRPS5 YOL061W O1213	496						CATALYTIC ACTIVITY: Reaction=ATP + D-ribose 5-phosphate = 5-phospho-alpha-D-ribose 1-diphosphate + AMP + H(+); Xref=Rhea:RHEA:15609, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:58017, ChEBI:CHEBI:78346, ChEBI:CHEBI:456215; EC=2.7.6.1; Evidence={ECO:0000269|PubMed:10212224, ECO:0000269|PubMed:15280369, ECO:0000269|PubMed:9829955};			METAL 242 242 Magnesium. {ECO:0000255}.; METAL 244 244 Magnesium. {ECO:0000255}.; METAL 253 253 Magnesium. {ECO:0000255}.; METAL 257 257 Magnesium. {ECO:0000255}.			
Q12341	HAT1_YEAST	YPL001W	HAT1 YPL001W LPA16W YP8132.12	374		ACT_SITE 255 255 Proton donor/acceptor. {ECO:0000303|PubMed:24835250}.		BINDING 258 258 Acetyl-CoA. {ECO:0000269|PubMed:24835250, ECO:0000269|PubMed:9727486}.; BINDING 267 267 Acetyl-CoA. {ECO:0000269|PubMed:9727486}.		CATALYTIC ACTIVITY: Reaction=acetyl-CoA + L-lysyl-[protein] = CoA + H(+) + N(6)-acetyl-L-lysyl-[protein]; Xref=Rhea:RHEA:45948, Rhea:RHEA-COMP:9752, Rhea:RHEA-COMP:10731, ChEBI:CHEBI:15378, ChEBI:CHEBI:29969, ChEBI:CHEBI:57287, ChEBI:CHEBI:57288, ChEBI:CHEBI:61930; EC=2.3.1.48; Evidence={ECO:0000269|PubMed:24835250};					SITE 174 174 Interaction with histone H4 N-terminus. {ECO:0000269|PubMed:24835250}.	
P41948	MEP2_YEAST	YNL142W	MEP2 AMT2 YNL142W N1207 N1820	499												
Q02733	IRC15_YEAST	YPL017C	IRC15 YPL017C	499										NP_BIND 47 56 FAD. {ECO:0000250}.		
P39946	LIS1_YEAST	YOR269W	PAC1 LIS1 YOR269W	494												
P38157	MAL33_YEAST	YBR297W	MAL33 MAL3R YBR297W YBR2115	468								DNA_BIND 8 34 Zn(2)-C6 fungal-type. {ECO:0000255|PROSITE-ProRule:PRU00227}.				MOTIF 41 49 Nuclear localization signal. {ECO:0000255}.
P47017	LSM1_YEAST	YJL124C	LSM1 SPB8 YJL124C J0714	172												
Q08773	ISW2_YEAST	YOR304W	ISW2 YOR304W	1120										NP_BIND 209 216 ATP. {ECO:0000255|PROSITE-ProRule:PRU00541}.		MOTIF 312 315 DEAH box.
P50276	MUP1_YEAST	YGR055W	MUP1 YGR055W	574												
P21954	IDHP_YEAST	YDL066W	IDP1 YDL066W	428			ACTIVITY REGULATION: The enzyme is subject to end product inhibition by NADPH and 2-oxoglutarate.	BINDING 93 93 Substrate. {ECO:0000250}.; BINDING 98 98 NADP. {ECO:0000250}.; BINDING 125 125 Substrate. {ECO:0000250}.; BINDING 148 148 Substrate. {ECO:0000250}.; BINDING 277 277 NADP. {ECO:0000250}.; BINDING 345 345 NADP; via amide nitrogen and carbonyl oxygen. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=isocitrate + NADP(+) = 2-oxoglutarate + CO2 + NADPH; Xref=Rhea:RHEA:19629, ChEBI:CHEBI:16087, ChEBI:CHEBI:16526, ChEBI:CHEBI:16810, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.1.1.42;	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000250};  Note=Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000250};		METAL 269 269 Magnesium or manganese. {ECO:0000250}.; METAL 292 292 Magnesium or manganese. {ECO:0000250}.	NP_BIND 91 93 NADP. {ECO:0000250}.; NP_BIND 327 332 NADP. {ECO:0000250}.	SITE 155 155 Critical for catalysis. {ECO:0000250}.; SITE 229 229 Critical for catalysis. {ECO:0000250}.	
P28795	PEX3_YEAST	YDR329C	PEX3 PAS3 YDR329C D9798.15	441												
P40968	PRP17_YEAST	YDR364C	CDC40 PRP17 SLU4 XRS2 YDR364C D9481.11	455												
P38281	APD1_YEAST	YBR151W	APD1 YBR151W YBR1201	316												
P25371	ADP1_YEAST	YCR011C	ADP1 YCR011C YCR105 YCR11C	1049										NP_BIND 423 430 ATP. {ECO:0000255|PROSITE-ProRule:PRU00434}.		
Q06349	DXO1_YEAST	YDR370C	DXO1 YDR370C	442							COFACTOR: Name=a divalent metal cation; Xref=ChEBI:CHEBI:60240; Evidence={ECO:0000250};  Note=Divalent metal cation. {ECO:0000250};		METAL 255 255 Divalent metal cation. {ECO:0000250}.; METAL 295 295 Divalent metal cation. {ECO:0000250}.; METAL 306 306 Divalent metal cation. {ECO:0000250}.			
P36088	FRMSR_YEAST	YKL069W	YKL069W YKL340	180						CATALYTIC ACTIVITY: Reaction=[thioredoxin]-disulfide + H2O + L-methionine = [thioredoxin]-dithiol + L-methionine (R)-S-oxide; Xref=Rhea:RHEA:21260, Rhea:RHEA-COMP:10698, Rhea:RHEA-COMP:10700, ChEBI:CHEBI:15377, ChEBI:CHEBI:29950, ChEBI:CHEBI:50058, ChEBI:CHEBI:57844, ChEBI:CHEBI:58773; EC=1.8.4.14; Evidence={ECO:0000269|PubMed:19049972};						
P0CX11	ERR2_YEAST	YPL281C	ERR2 YPL281C	437		ACT_SITE 212 212 Proton donor. {ECO:0000250}.; ACT_SITE 346 346 Proton acceptor. {ECO:0000250}.		BINDING 160 160 Substrate. {ECO:0000250}.; BINDING 169 169 Substrate. {ECO:0000250}.; BINDING 296 296 Substrate. {ECO:0000250}.; BINDING 321 321 Substrate. {ECO:0000250}.; BINDING 397 397 Substrate. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=(2R)-2-phosphoglycerate = H2O + phosphoenolpyruvate; Xref=Rhea:RHEA:10164, ChEBI:CHEBI:15377, ChEBI:CHEBI:58289, ChEBI:CHEBI:58702; EC=4.2.1.11;	COFACTOR: Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000250}; 		METAL 247 247 Magnesium. {ECO:0000250}.; METAL 296 296 Magnesium. {ECO:0000250}.; METAL 321 321 Magnesium. {ECO:0000250}.			
P40036	GIP2_YEAST	YER054C	GIP2 YER054C	548												
P40988	FET4_YEAST	YMR319C	FET4 YMR319C YM9924.11C	552												
Q04651	ERV41_YEAST	YML067C	ERV41 YML067C	352												MOTIF 349 350 Isoleucine-leucine motif.
P38301	GDT1_YEAST	YBR187W	GDT1 YBR187W YBR1310	280												
P53839	GOR1_YEAST	YNL274C	GOR1 YNL274C N0631	350		ACT_SITE 254 254 {ECO:0000250}.; ACT_SITE 283 283 {ECO:0000250}.; ACT_SITE 301 301 Proton donor. {ECO:0000250}.		BINDING 278 278 NAD. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=glycolate + NAD(+) = glyoxylate + H(+) + NADH; Xref=Rhea:RHEA:18229, ChEBI:CHEBI:15378, ChEBI:CHEBI:29805, ChEBI:CHEBI:36655, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.1.1.26;				NP_BIND 173 174 NAD. {ECO:0000250}.; NP_BIND 252 254 NAD. {ECO:0000250}.; NP_BIND 301 304 NAD. {ECO:0000250}.		
Q12168	ENG2_YEAST	YLR144C	ACF2 ENG2 PCA1 YLR144C L3180	779						CATALYTIC ACTIVITY: Reaction=Endohydrolysis of (1->3)- or (1->4)-linkages in beta-D-glucans when the glucose residue whose reducing group is involved in the linkage to be hydrolyzed is itself substituted at C-3.; EC=3.2.1.6;						
P36007	LTHAD_YEAST	YKL218C	SRY1 YKL218C	326			ACTIVITY REGULATION: Is strongly inhibited by hydroxylamine and EDTA in vitro. {ECO:0000269|PubMed:12951240}.	BINDING 80 80 Pyridoxal phosphate. {ECO:0000250|UniProtKB:P04968}.; BINDING 304 304 Pyridoxal phosphate. {ECO:0000250|UniProtKB:P04968}.		CATALYTIC ACTIVITY: Reaction=(3S)-3-hydroxy-L-aspartate = NH4(+) + oxaloacetate; Xref=Rhea:RHEA:12424, ChEBI:CHEBI:16452, ChEBI:CHEBI:28938, ChEBI:CHEBI:57251; EC=4.3.1.16; Evidence={ECO:0000269|PubMed:12951240};	COFACTOR: Name=pyridoxal 5'-phosphate; Xref=ChEBI:CHEBI:597326; Evidence={ECO:0000269|PubMed:12951240}; ; COFACTOR: Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000269|PubMed:12951240}; Name=Mg(2+); Xref=ChEBI:CHEBI:18420; Evidence={ECO:0000269|PubMed:12951240}; Name=Ca(2+); Xref=ChEBI:CHEBI:29108; Evidence={ECO:0000269|PubMed:12951240};  Note=Requires a divalent metal cation such as Mn(2+), Mg(2+), or Ca(2+). {ECO:0000269|PubMed:12951240};					
P53176	MST27_YEAST	YGL051W	MST27 DUP2 YGL051W	234												
P40335	PEP8_YEAST	YJL053W	PEP8 GRD6 VPS26 VPT4 YJL053W J1152	379												
P53253	NNF2_YEAST	YGR089W	NNF2 YGR089W	936												
P48524	BUL1_YEAST	YMR275C	BUL1 DAG1 RDS1 SMM2 YMR275C YM8021.01C YM8156.17C	976												MOTIF 156 160 PY-motif.
P21560	CBP3_YEAST	YPL215W	CBP3 YPL215W P1775	335												
Q12114	CHS5_YEAST	YLR330W	CHS5 CAL3 YLR330W L8543.18	671												
P32449	AROG_YEAST	YBR249C	ARO4 YBR249C YBR1701	370			ACTIVITY REGULATION: Inhibited by tyrosine.			CATALYTIC ACTIVITY: Reaction=D-erythrose 4-phosphate + H2O + phosphoenolpyruvate = 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate + phosphate; Xref=Rhea:RHEA:14717, ChEBI:CHEBI:15377, ChEBI:CHEBI:16897, ChEBI:CHEBI:43474, ChEBI:CHEBI:58394, ChEBI:CHEBI:58702; EC=2.5.1.54;						
P43497	CWP2_YEAST	YKL096W-A	CWP2 LPR1 YKL096W-A YKL096BW YKL444	92											SITE 33 33 Covalent attachment to cell wall glycan. {ECO:0000250}.	
P38231	FMP23_YEAST	YBR047W	FMP23 YBR047W YBR0422	175												
P07143	CY1_YEAST	YOR065W	CYT1 CTC1 YOR065W YOR29-16	309				BINDING 101 101 Heme (covalent).; BINDING 104 104 Heme (covalent).					METAL 105 105 Iron (heme axial ligand).; METAL 225 225 Iron (heme axial ligand).			
P26343	DAL80_YEAST	YKR034W	DAL80 UGA43 YKR034W	269												
P47133	EMC2_YEAST	YJR088C	EMC2 YJR088C J1875	292												
P36039	EMC3_YEAST	YKL207W	EMC3 AIM27 YKL207W	253												
Q03661	ESC1_YEAST	YMR219W	ESC1 YMR219W YM8261.13 YM9959.01	1658												
P25087	ERG6_YEAST	YML008C	ERG6 ISE1 LIS1 SED6 YML008C YM9571.10C	383						CATALYTIC ACTIVITY: Reaction=5alpha-cholesta-8,24-dien-3beta-ol + S-adenosyl-L-methionine = 24-methylene-5alpha-cholest-8-en-3beta-ol + H(+) + S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:21128, ChEBI:CHEBI:15378, ChEBI:CHEBI:17038, ChEBI:CHEBI:18252, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789; EC=2.1.1.41;						
P53861	ELOA1_YEAST	YNL230C	ELA1 YNL230C N1161	379												
P39676	FHP_YEAST	YGR234W	YHB1 YHB YGR234W G8572	399		ACT_SITE 95 95 Charge relay system. {ECO:0000250}.; ACT_SITE 137 137 Charge relay system. {ECO:0000250}.		BINDING 189 189 FAD. {ECO:0000250}.		CATALYTIC ACTIVITY: Reaction=NADPH + 2 nitric oxide + 2 O2 = H(+) + NADP(+) + 2 nitrate; Xref=Rhea:RHEA:19465, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16480, ChEBI:CHEBI:17632, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349; EC=1.14.12.17; Evidence={ECO:0000269|PubMed:10922365}; CATALYTIC ACTIVITY: Reaction=NADH + 2 nitric oxide + 2 O2 = H(+) + NAD(+) + 2 nitrate; Xref=Rhea:RHEA:19469, ChEBI:CHEBI:15378, ChEBI:CHEBI:15379, ChEBI:CHEBI:16480, ChEBI:CHEBI:17632, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945; EC=1.14.12.17; Evidence={ECO:0000269|PubMed:10922365};	COFACTOR: Name=FAD; Xref=ChEBI:CHEBI:57692;  Note=Binds 1 FAD per subunit.; COFACTOR: Name=heme b; Xref=ChEBI:CHEBI:60344;  Note=Binds 1 heme b group per subunit.;		METAL 85 85 Iron (heme proximal ligand). {ECO:0000255|PROSITE-ProRule:PRU00238}.	NP_BIND 207 210 FAD. {ECO:0000250}.; NP_BIND 281 286 NADP. {ECO:0000250}.; NP_BIND 389 392 FAD. {ECO:0000250}.	SITE 29 29 Involved in heme-bound ligand stabilization and O-O bond activation. {ECO:0000250}.; SITE 84 84 Influences the redox potential of the prosthetic heme and FAD groups. {ECO:0000250}.; SITE 388 388 Influences the redox potential of the prosthetic heme and FAD groups. {ECO:0000250}.	
P41819	DIM1_YEAST	YPL266W	DIM1 YPL266W	318				BINDING 37 37 S-adenosyl-L-methionine; via carbonyl oxygen. {ECO:0000255|PROSITE-ProRule:PRU01026}.; BINDING 39 39 S-adenosyl-L-methionine; via amide nitrogen. {ECO:0000255|PROSITE-ProRule:PRU01026}.; BINDING 64 64 S-adenosyl-L-methionine; via carbonyl oxygen. {ECO:0000255|PROSITE-ProRule:PRU01026}.; BINDING 85 85 S-adenosyl-L-methionine. {ECO:0000255|PROSITE-ProRule:PRU01026}.; BINDING 113 113 S-adenosyl-L-methionine. {ECO:0000255|PROSITE-ProRule:PRU01026}.; BINDING 128 128 S-adenosyl-L-methionine. {ECO:0000255|PROSITE-ProRule:PRU01026}.		CATALYTIC ACTIVITY: Reaction=adenosine(1779)/adenosine(1780) in 18S rRNA + 4 S-adenosyl-L-methionine = 4 H(+) + N(6)-dimethyladenosine(1779)/N(6)-dimethyladenosine(1780) in 18S rRNA + 4 S-adenosyl-L-homocysteine; Xref=Rhea:RHEA:42780, Rhea:RHEA-COMP:10234, Rhea:RHEA-COMP:10236, ChEBI:CHEBI:15378, ChEBI:CHEBI:57856, ChEBI:CHEBI:59789, ChEBI:CHEBI:74411, ChEBI:CHEBI:74493; EC=2.1.1.183;						
P53961	GPI15_YEAST	YNL038W	GPI15 YNL038W N2687	229						CATALYTIC ACTIVITY: Reaction=a 1,2-diacyl-sn-glycero-3-phospho-(1D-myo-inositol) + UDP-N-acetyl-alpha-D-glucosamine = a 6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol + H(+) + UDP; Xref=Rhea:RHEA:14789, ChEBI:CHEBI:15378, ChEBI:CHEBI:57265, ChEBI:CHEBI:57705, ChEBI:CHEBI:57880, ChEBI:CHEBI:58223; EC=2.4.1.198;						
P40069	IMB4_YEAST	YER110C	KAP123 YRB4 YER110C	1113												
P38760	MIP6_YEAST	YHR015W	MIP6 YHR015W	659												
P19807	HNM1_YEAST	YGL077C	HNM1 CTR CTR1 YGL077C	563												
P29295	HRR25_YEAST	YPL204W	HRR25 YPL204W	494		ACT_SITE 128 128 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 38 38 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1;				NP_BIND 15 23 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
Q12310	PRR2_YEAST	YDL214C	PRR2 YDL214C D1014	699		ACT_SITE 484 484 Proton acceptor. {ECO:0000255|PROSITE-ProRule:PRU00159, ECO:0000255|PROSITE-ProRule:PRU10027}.		BINDING 390 390 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		CATALYTIC ACTIVITY: Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein]; Xref=Rhea:RHEA:17989, Rhea:RHEA-COMP:9863, Rhea:RHEA-COMP:11604, ChEBI:CHEBI:15378, ChEBI:CHEBI:29999, ChEBI:CHEBI:30616, ChEBI:CHEBI:83421, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000269|PubMed:11062466, ECO:0000269|PubMed:16319894}; CATALYTIC ACTIVITY: Reaction=ATP + L-threonyl-[protein] = ADP + H(+) + O-phospho-L-threonyl-[protein]; Xref=Rhea:RHEA:46608, Rhea:RHEA-COMP:11060, Rhea:RHEA-COMP:11605, ChEBI:CHEBI:15378, ChEBI:CHEBI:30013, ChEBI:CHEBI:30616, ChEBI:CHEBI:61977, ChEBI:CHEBI:456216; EC=2.7.11.1; Evidence={ECO:0000269|PubMed:11062466, ECO:0000269|PubMed:16319894};				NP_BIND 367 375 ATP. {ECO:0000255|PROSITE-ProRule:PRU00159}.		
P36014	GPX1_YEAST	YKL026C	GPX1 YKL026C	167		ACT_SITE 36 36 Cysteine sulfenic acid (-SOH) intermediate. {ECO:0000305|PubMed:20572871, ECO:0000305|PubMed:22659048}.				CATALYTIC ACTIVITY: Reaction=[protein]-dithiol + a hydroperoxide = [protein]-disulfide + an alcohol + H2O; Xref=Rhea:RHEA:10008, Rhea:RHEA-COMP:10593, Rhea:RHEA-COMP:10594, ChEBI:CHEBI:15377, ChEBI:CHEBI:29950, ChEBI:CHEBI:30879, ChEBI:CHEBI:35924, ChEBI:CHEBI:50058; EC=1.11.1.15; Evidence={ECO:0000269|PubMed:20572871, ECO:0000269|PubMed:22659048};						
Q03063	DIG1_YEAST	YPL049C	DIG1 RST1 YPL049C P7102.02	452												
P53863	JJJ1_YEAST	YNL227C	JJJ1 YNL227C N1254	590												
Q08176	MIM1_YEAST	YOL026C	MIM1 TOM13 YOL026C	113												
P16523	MER1_YEAST	YNL210W	MER1 YNL210W N1330	270												
P17629	HPR1_YEAST	YDR138W	HPR1 YDR138W YD9302.14	752												
P54862	HXT11_YEAST	YOL156W	HXT11 LGT3 YOL156W AOB567 O0414	567												
P43581	HXT10_YEAST	YFL011W	HXT10 YFL011W	546												
P15807	MET8_YEAST	YBR213W	MET8 YBR213W YBR1461	274		ACT_SITE 141 141 Proton acceptor. {ECO:0000255}.		BINDING 93 93 NAD; via amide nitrogen. {ECO:0000269|PubMed:11980703}.		CATALYTIC ACTIVITY: Reaction=NAD(+) + precorrin-2 = 2 H(+) + NADH + sirohydrochlorin; Xref=Rhea:RHEA:15613, ChEBI:CHEBI:15378, ChEBI:CHEBI:57540, ChEBI:CHEBI:57945, ChEBI:CHEBI:58351, ChEBI:CHEBI:58827; EC=1.3.1.76; CATALYTIC ACTIVITY: Reaction=2 H(+) + siroheme = Fe(2+) + sirohydrochlorin; Xref=Rhea:RHEA:24360, ChEBI:CHEBI:15378, ChEBI:CHEBI:29033, ChEBI:CHEBI:58351, ChEBI:CHEBI:60052; EC=4.99.1.4;				NP_BIND 23 24 NAD. {ECO:0000269|PubMed:11980703}.; NP_BIND 43 45 NAD. {ECO:0000269|PubMed:11980703}.		
